id,name,category,currentWorkflow,recommendedWorkflow,changed,reason
fabric-acoustic-panels,Fabric Acoustic Panels,acoustic-panel,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
cable-railing,Cable Railing,balustrade,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
glass-balustrade,Glass Balustrade,balustrade,none,finish,yes,Glass-led product; finish/treatment matters more than colour palette.
mesh-railing,Mesh Railing,balustrade,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
steel-railing,Steel Railing,balustrade,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
timber-railing,Timber Railing,balustrade,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
acoustic-ceiling-baffles,Acoustic Ceiling Baffles,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
acoustic-tiles-ceiling,Acoustic Ceiling Tiles,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
coffered-ceiling,Coffered Ceiling,ceiling,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
exposed-clt-ceiling,Exposed CLT Ceiling,ceiling,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
exposed-concrete-soffit,Exposed Concrete Soffit,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
gypsum-ceiling,Gypsum Ceiling,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
metal-mesh-ceiling,Metal Mesh Ceiling,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
open-grid-ceiling,Open Grid Ceiling,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
perforated-metal-ceiling,Perforated Metal Ceiling,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
perforated-metal-soffit,Perforated Metal Soffit,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
plasterboard-ceiling,Plasterboard Ceiling,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
stretch-fabric-ceiling,Stretch Fabric Ceiling,ceiling,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
timber-slat-ceiling,Timber Slat Ceiling,ceiling,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
timber-slat-soffit,Timber Slat Soffit,ceiling,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
aluminum-door,Aluminum Doors,door,none,finish -> colour,yes,System typically needs coating/finish and colour selection.
composite-door,Composite Doors,door,none,finish -> colour,yes,System typically needs coating/finish and colour selection.
fire-rated-door,Fire-Rated Doors,door,none,finish -> colour,yes,System typically needs coating/finish and colour selection.
glass-door,Glass Doors,door,none,finish,yes,Glass-led product; finish/treatment matters more than colour palette.
steel-door,Steel Doors,door,none,finish -> colour,yes,System typically needs coating/finish and colour selection.
timber-door,Timber Doors,door,none,finish -> colour,yes,System typically needs coating/finish and colour selection.
aluminium-cladding,Aluminium Cladding,external,colour,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
brick-veneer,Brick,external,colour,variety -> finish -> colour,yes,"Material family usually selected by subtype, finish texture, and colour tone."
brick-slip-rainscreen,Brick Slip Rainscreen,external,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
charred-timber-cladding,Charred Timber Cladding,external,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
copper-cladding,Copper Cladding,external,colour,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
cork-rainscreen,Cork Rainscreen,external,none,variety -> finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
etfe-tensile-facade,ETFE / Tensile Façade System,external,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
fibre-cement-panels,Fibre Cement Panels,external,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
gfrc-grc-panels,GFRC / GRC Panels,external,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
glass-facade,Glass Façade System,external,none,finish -> colour,yes,Architectural finish category generally benefits from full appearance workflow.
